ProductID,ProductName,Description,Category,Price,StockQuantity,MinimumThreshold,RestockAmount,LastUpdated
P001,Pen,Black Ballpoint Pen,Stationary,12.00,50,15,200,2024-07-02
P002,Pencil,HB Pencil,Stationary,8.00,65,20,200,2024-08-22
P003,Notebook,"A5 lined, 80 pages",Stationary,25.00,40,12,200,2024-08-23
P004,Sketchbook,"A5 Drawing Sketchbook, 50 pages",Stationary,32.00,30,9,200,2024-08-24
P006,Polo Shirt,"University-branded, cotton",Merch,100.00,100,30,200,2024-08-26
P007,Hoodie,"University-branded, fleece-lined",Merch,120.00,56,17,200,2024-08-27
P008,Cap,"University logo, adjustable size",Merch,60.00,40,12,200,2024-08-28
P009,Thermos,"University logo,360ml",Merch,200.00,30,9,200,2024-08-29
P010,Fountain Pen,University Logo,Merch,400.00,30,9,200,2024-08-30
P011,Skirt,"Pleated Black Skirt, 38""",Uniform,100.00,100,30,200,2024-08-31
P012,Men's Trousers,"Black University Trousers, 40",Uniform,100.00,100,30,200,2024-09-01
P013,Men's Uniform Shirt,"White University Shirt, L",Uniform,200.00,100,30,200,2024-09-02
P014,Women's Uniform Shirt,"White University Shirt, M",Uniform,200.00,100,30,200,2024-09-03
P015,Brown Belt,"University Leather Belt, 35""",Uniform,60.00,150,45,200,2024-09-04
P016,Black Belt,"University Leather Belt, 40""",Uniform,60.00,120,36,200,2024-09-05
P017,Belt Buckle,"University Belt Buckle, Male and Female",Uniform,40.00,85,26,200,2024-09-06
P018,University Shirt Buttons,Button Shells,Uniform,25.00,45,14,200,2024-09-07
P019,University Shirt Pin,Women's University Pin,Uniform,25.00,150,45,200,2024-09-08
P021,Book Bag,"Durable canvas, zippered",Merch,230.00,75,23,200,2024-09-10
P022,Back Pack,"University logo, eco-friendly",Merch,230.00,45,14,200,2024-09-11
P023,Calculator,"Scientific calculator, solar powered",Electronics,1105.00,50,15,200,2024-09-12
P024,Writing Tablet,7*4 -inch drawing tablet,Electronics,2000.00,20,6,200,2024-09-13
P025,Computer Mouse,Wired Computer Mouse,Electronics,200.00,35,11,200,2024-09-14
P027,Earphones,"3.5mm plug, 1.2m wire",Electronics,50.00,45,14,200,2024-09-16
P028,Textbook,"Math for Engineers, 3rd Edition",Books,300.00,65,20,200,2024-09-17
P029,Comic Book,Batman,Books,250.00,50,15,200,2024-09-18
P030,Manga,Fairy Tail: 100 Years Quest,Books,250.00,110,6,90,2024-12-18
P031,RTX 4090,"NVIDIA's GPU, it's good",GPU,1499.00,500,500,200,2024-12-18
P033,RTX 5090,"NVIDIA's Really good GPU, it's hella fast",GPU,4999.00,61,600,60,2024-12-18
P034,RX 8800 XTX,"AMD's fictional GPU, it gud",GPU,3499.00,150,50,230,2024-12-18
P035,RX 9900 XTXTX,"A gPu, asd",GPU,200.00,304,500,300,2024-12-18
P036,B580,"Intels ok GPU, it reallly gud",GPU,300.00,2000,30,50,2024-12-18
